Codigo;Materia
GC315;ACCIÓN COLECTIVA Y TRANSFORMACIÓN SOCIAL
AE402;CONTABILIDAD ADMINISTRATIVA
INS0136;ACERCAMIENTO A LA LENGUA DE SEÑAS COLOMBIANA (LSD) Y LA COMUNIDAD SORDA
AE603;ANALISIS Y ADMINISTRACION FINANCIERA
AE603;ANALISIS Y ADMINISTRACION FINANCIERA
BIO602;ADMINISTRACIÓN
AE602;DESTINOS Y GEOGRAFIA TURISTICA I
SST404;ADMINISTRACIÓN
CMA014;GEOPOLITICA
AET505;ADMINISTRACIÓN DE LA CALIDAD
AE601;INVESTIGACION DE MERCADOS
PGC702;ADMINISTRACIÓN DE LA CALIDAD
AE6043;PLANIFICACION TURISTICA I
ARQ1001;ADMINISTRACION DE LA CONSTRUCCION
AE6042;MERCADEO TURISTICO
AE802;ADMINISTRACION DE OPERACIONES
AE704;GERENCIA ESTRATEGICA
PGC501;ADMINISTRACIÓN DE SERVICIOS GASTRONÓMICOS
AE7053;PLANIFICACION TURISTICA II
GC212;ADMINISTRACIÓN PARA LAS ORGANIZACIONES SOCIALES
AE701;SISTEMAS DE INFORMACION GERENCIAL
PDS026;ADMINISTRACIÓN PÚBLICA TERRITORIAL
AE703;DESTINOS Y GEOGRAFIA TURISTICA II
GC412;ADMINISTRACIÓN PÚBLICA TERRITORIAL
AE702;TOURISM MANAGEMENT MARKETING
CV1001;ADMINISTRACION Y GERENCIA DE LA CONSTRUCCION
AE7052;MERCADEO TURISTICO II
CV6082;ADMINISTRACION Y GESTION DE LA CONSTRUCCION
AE801;FORMULACION Y EVALUACION DE PROYECTOS
AE801;FORMULACION Y EVALUACION DE PROYECTOS
AE801;FORMULACION Y EVALUACION DE PROYECTOS
CV7072;ADMINISTRACION Y GESTION DE LA CONSTRUCCION II
AE802;ADMINISTRACION DE OPERACIONES
AE802;ADMINISTRACION DE OPERACIONES
AE802;ADMINISTRACION DE OPERACIONES
AE802;ADMINISTRACION DE OPERACIONES
CV8082;ADMINISTRACION Y GESTION DE LA CONSTRUCCION III
AE8033;PLANIFICACION TURISTICA III
FAI005;ÁLGEBRA LINEAL Y MODELOS CUANTITATIVOS
AE8032;MERCADEO TURISTICO III
ICO202;ALGORITMOS Y PROGRAMACIÓN
CMA020;SEMINARIO DE EMPRENDIMIENTO
PGC301;ANÁLISIS DE COSTOS GASTRONÓMICOS
AE901;PRACTICA PROFESIONAL
AET301;ANÁLISIS DE COYUNTURA INTERNACIONAL PARA LA TOMA DE DECISIONES
